company_name,salary,company_info,info_detail,name,time
平安医疗,10K-20K,医疗健康,Java开发岗位：1、计算机相关专业本科以上学历，三年及以上Java开发经验；2.熟悉Java EE技术，包括Serverlet/JSP、JDBC、JMS、WebService等，熟悉Spring，Hibernate，Mybatis，Spr,Java,发布于02月24日
平安医疗,20K-30K,医疗健康,岗位职责,Java,发布于02月24日
智慧喵科学教育中心,15K-20K,在线教育,岗位职责：,java后台开发工程师,发布于02月26日
文思海辉,8K-16K,计算机软件,1、2014年及以前本科毕业，学信网可查；,Java开发工程师,发布于12:17
河南鑫众力,9K-13K,计算机软件,任职要求：,java,发布于02月27日
柯莱特,11K-20K,计算机软件,1、 扎实的java编程基础知识，至少3年java web开发经验；，大专以上学历,java,发布于02月24日
上海艾艺,15K-20K,计算机软件,1、计算机相关专业本科，有5年以上java开发经验；,Java开发工程师（外包）,发布于02月27日
唯品会,25K-50K,互联网,工作内容：,高级/资深Java开发工程师（全栈方向）（上海）,发布于02月27日
瑞阙,15K-27K,互联网金融,岗位职责：1.负责公司平台级产品的软件开发和维护；,高级JAVA研发工程师,发布于02月26日
瑞阙,10K-19K,互联网金融,岗位职责：1.负责公司平台级产品的软件开发和维护；,java,发布于02月26日
上海聪充科技,10K-18K,互联网,JAVA高级开发工程师,Java高级工程师,发布于02月27日
智慧树,12K-18K,互联网,1、本科及以上学历，计算机或者相关专业；,Java开发工程师,发布于14:26
文思海辉,8K-16K,计算机软件,1、本科以上学历，学信网可查就行，3年以上工作经验,java工程师,发布于10:49
领思科技,6K-12K,计算机软件,"1、1年以上java开发经验,具备需求分析和系统设计能力，较好的软件工程文档撰写能力；",java开发工程师,发布于02月26日
上交所技术,18K-25K,互联网金融,岗位职责：,JAVA开发岗,发布于02月27日
南京融翼,7K-10K,计算机软件,"1、熟悉主流开源框架，如Spring, Hibernate, Struts；",JAVA开发工程师（电信）,发布于02月26日
南京融翼,10K-15K,计算机软件,"1、熟悉主流开源框架，如Spring, Hibernate, Struts；",JAVA开发工程师(上海),发布于02月26日
平安普惠投资咨询有限公司,8K-16K,互联网金融,吃起来，吃饱好上路！,Java,发布于02月25日
平安银行,15K-30K,互联网金融,岗位职责：,JAVA工程师,发布于15:16
文思海辉,10K-20K,计算机软件,1、2014年（包括14年）之前本科毕业，学信网可查即可,Java,发布于14:25
点内生物,10K-15K,医疗健康,岗位职责：,Java工程师,发布于02月26日
阿里巴巴集团,19K-36K,互联网,工作地点是阿里巴巴西溪园区,Java高级开发工程师/技术专家,发布于15:33
心触动传媒,8K-12K,互联网,职位信息:,Java工程师,发布于02月26日
中科软通,10K-14K,计算机软件,岗位职责：,Java工程师,发布于02月25日
上海信传,10K-20K,计算机软件,招聘岗位：软件工程师（全职）,java软件工程师,发布于昨天
文思海辉,10K-20K,计算机软件,1、3年以上java开发经验，有银行经验优先,Java,发布于13:55
上海创蓝文化传播,15K-25K,移动互联网,岗位职责：,高级JAVA工程师,发布于02月24日
船老大,12K-16K,互联网,岗位描述：,Java开发工程师,发布于02月26日
钜石信息,10K-20K,互联网,岗位职责：,Java开发,发布于02月26日
步锐捷,8K-16K,移动互联网,职位描述：,中级Java,发布于02月26日
勾芒科技,3K-5K,移动互联网,职位诱惑：,JAVA实习生,发布于02月26日
北京普柏特信息科技,20K-35K,互联网金融,岗位职责：,Java高级开发工程师,发布于02月24日
鸿程系统,10K-20K,互联网,岗位职责：,JAVA开发工程师（base 上海）,发布于02月26日
阿里巴巴集团,4K-5K,互联网,阿里巴巴2018年实习生招聘，基础要求：,java开发实习生(限19年毕业，工作地杭州),发布于02月25日
金证股份,9K-14K,计算机软件,岗位要求：,java工程师,发布于13:52
快牛金科,15K-25K,移动互联网,【岗位职责】,Java开发工程师,发布于02月23日
北京科奇,20K-35K,人力资源服务,职责描述：,java开发工程师,发布于02月27日
纬创,10K-11K,计算机软件,岗位职责,Java工程师,发布于09:58
锐聘软件,10K-20K,计算机软件,职位职责：,Java开发工程师,发布于02月26日
锐聘软件,12K-20K,计算机软件,岗位职责,Java开发工程师,发布于02月26日
百度,25K-50K,互联网,岗位描述：,Java,发布于昨天
卓艾,10K-20K,企业服务,岗位职责：,Java开发工程师,发布于02月26日
coupang,20K-30K,电子商务,Responsibilities:,高级Java开发工程师-Seller Intelligence,发布于16:27
久雅科技,6K-12K,计算机软件,1. 在公司开发平台上进行项目开发,初级Java开发工程师,发布于02月26日
维优咨询,10K-20K,互联网,Java工程师,Java开发工程师,发布于02月27日
善悉商务,12K-18K,互联网金融,工作内容：,Java中级开发工程师,发布于02月23日
招商银行信用卡中心,15K-30K,互联网金融,岗位职责:,Java中高级工程师,发布于昨天
拼多多,30K-50K,移动互联网,岗位职责,资深java研发工程师/架构师,发布于02月24日
今日头条,25K-50K,移动互联网,职位职责：,高级Java开发工程师,发布于昨天
万达信息,9K-11K,计算机软件,岗位职责：,java中级软件开发工程师,发布于昨天
文思海辉,12K-15K,计算机软件,本科以上学历，3年以上工作经验。,Java开发,发布于09:12
喜马拉雅FM,25K-35K,移动互联网,工作职责：,Java资深开发,发布于14:38
浙江鸿程,20K-30K,计算机软件,岗位职责：,高级JAVA开发工程师（Base上海）,发布于17:12
杭州柏阔,15K-25K,互联网金融,工作职责：,高级JAVA软件开发工程师,发布于02月26日
票易通,20K-30K,数据服务,【岗位职责】,资深Java开发,发布于17:28
票易通,10K-20K,数据服务,【岗位职责】,Java开发工程师,发布于17:25
百得思维,10K-20K,计算机软件,1.计算机及相关专业本科以上学历；,Java开发,发布于昨天
长江众创,8K-16K,移动互联网,Java工程师：,Java,发布于02月25日
文思海辉,12K-16K,计算机软件,岗位职责：,Java,发布于昨天
青客,15K-23K,移动互联网,工作职责,高级java工程师,发布于02月23日
太平洋房屋,15K-20K,生活服务,职位描述,JAVA高级软件工程师,发布于09:50
聚力传媒PPTV,18K-36K,移动互联网,岗位职责：,Java,发布于02月26日
蚂蚁金服,12K-24K,互联网,蚂蚁金服金融云上海产品研发招人,Java,发布于昨天
盛大游戏,15K-25K,游戏,岗位职责,资深Java开发工程师,发布于02月23日
傲世堂,10K-11K,游戏,职位描述：,JAVA游戏研发工程师,发布于02月26日
复兰科技,10K-15K,互联网,岗位职责：,Java软件开发工程师,发布于02月24日
上海同道,6K-8K,计算机软件,岗位职责：,Java开发工程师,发布于11:09
票易通,20K-30K,数据服务,【岗位职责】,高级Java,发布于13:19
华钦软件CLPS,13K-23K,计算机软件,"1、2年以上Java开发人员（springMVC，Java/J2EE,ssh,sql）的经验。",Java开发工程师,发布于13:52
